UNITID,EFALEVEL,EFTOTLT,EFTOTLM,EFTOTLW
106306,1,1027,650,377
106315,1,37,8,29
106324,1,46,1,45
106342,1,592,271,321
106351,1,134,77,57
106360,1,50,6,44
106397,1,25341,12601,12740
106412,1,2615,1196,1419
106449,1,4380,1874,2506
106458,1,13552,5386,8166
106467,1,11369,5054,6315
106485,1,3893,1600,2293
106494,1,64,3,61
106546,1,918,96,822
106625,1,2248,815,1433
106704,1,11534,4531,7003
106713,1,827,422,405
106795,1,1597,526,1071
106810,1,200,110,90
106829,1,286,171,115
106883,1,1386,471,915
106892,1,302,9,293
106908,1,482,29,453
106980,1,3246,1200,2046
106999,1,1353,435,918
107044,1,6238,2677,3561
107071,1,3583,1532,2051
107080,1,1444,652,792
107099,1,43,1,42
107123,1,76,10,66
107141,1,2596,1100,1496
107211,1,27,5,22
107220,1,364,18,346
107275,1,15,0,15
107293,1,75,1,74
107318,1,1793,678,1115
107327,1,1425,515,910
107363,1,65,6,59
107442,1,79,47,32
107460,1,2167,903,1264
107488,1,252,152,100
107512,1,1543,726,817
107521,1,1501,550,951
107549,1,1489,478,1011
107558,1,585,283,302
107585,1,2149,907,1242
107600,1,556,187,369
107619,1,2029,711,1318
107637,1,1601,525,1076
107655,1,50,0,50
107664,1,10527,3776,6751
107725,1,1460,478,982
107743,1,957,322,635
107789,1,96,8,88
107831,1,104,5,99
107840,1,330,90,240
107877,1,574,219,355
107974,1,1632,437,1195
107983,1,3404,1394,2010
107992,1,1730,852,878
108065,1,25,0,25
108092,1,7170,3141,4029
108232,1,16001,6787,9214
108250,1,510,405,105
108269,1,132,51,81
108348,1,44,22,22
108649,1,186,4,182
108667,1,5799,2637,3162
108807,1,10885,5215,5670
108852,1,258,114,144
108861,1,49,32,17
108870,1,348,208,140
108977,1,45,9,36
109040,1,1770,390,1380
109086,1,31,16,15
109208,1,29701,13643,16058
109332,1,170,19,151
109350,1,14262,5815,8447
109651,1,1985,1002,983
109721,1,404,176,228
109730,1,110,88,22
109785,1,10755,3634,7121
109819,1,17770,7796,9974
109907,1,3211,1285,1926
109934,1,185,11,174
110060,1,353,202,151
110097,1,6301,2940,3361
110185,1,518,303,215
110194,1,45,45,0
110219,1,927,231,696
110246,1,12163,5807,6356
110307,1,206,40,166
110316,1,1271,340,931
110334,1,13666,6589,7077
110361,1,7144,2455,4689
110370,1,1949,742,1207
110398,1,1088,534,554
110404,1,2181,1497,684
110413,1,4282,1863,2419
110422,1,19703,10772,8931
110468,1,4201,1256,2945
110486,1,8371,3239,5132
110495,1,8917,3111,5806
110510,1,18398,7030,11368
110529,1,22501,12584,9917
110538,1,16356,7685,8671
110547,1,14670,5050,9620
110556,1,23060,9682,13378
110565,1,38325,16854,21471
110574,1,14526,5616,8910
110583,1,35586,15204,20382
110592,1,23258,9471,13787
110608,1,38310,17020,21290
110617,1,28811,12272,16539
110635,1,36198,18099,18099
110644,1,33307,14894,18413
110653,1,28895,13832,15063
110662,1,40795,19349,21446
110671,1,21207,10529,10678
110680,1,29517,15752,13765
110699,1,3079,1159,1920
110705,1,22225,10848,11377
110714,1,17203,8160,9043
110778,1,453,114,339
110875,1,114,6,108
110918,1,30,19,11
110945,1,762,340,422
111009,1,489,275,214
111054,1,219,10,209
111081,1,1489,708,781
111188,1,1045,896,149
111391,1,704,324,380
111434,1,6620,2469,4151
113111,1,5697,2705,2992
113193,1,9256,4530,4726
113218,1,8859,4183,4676
113236,1,15881,7164,8717
113333,1,23261,12003,11258
113397,1,1330,52,1278
113449,1,229,78,151
113537,1,29,15,14
113573,1,9259,4269,4990
113582,1,181,11,170
113634,1,20286,9755,10531
113698,1,2147,537,1610
113704,1,89,78,11
113856,1,36606,19253,17353
113908,1,566,50,516
113980,1,23996,11672,12324
114044,1,205,18,187
114071,1,397,19,378
114080,1,254,9,245
114114,1,203,44,159
114123,1,419,88,331
114266,1,9211,4228,4983
114354,1,3459,382,3077
114390,1,637,43,594
114415,1,214,24,190
114433,1,1782,943,839
114460,1,246,12,234
114549,1,1190,331,859
114585,1,402,126,276
114628,1,47,9,38
114716,1,14814,7408,7406
114734,1,44,19,25
114761,1,83,1,82
114789,1,21344,9930,11414
114813,1,3393,1057,2336
114840,1,2694,1679,1015
114859,1,24301,11864,12437
114938,1,5834,2774,3060
114947,1,192,100,92
115001,1,15744,7124,8620
115010,1,293,75,218
115083,1,3227,1410,1817
115126,1,12717,5997,6720
115214,1,253,149,104
115296,1,18618,8259,10359
115357,1,30,2,28
115393,1,9439,4890,4549
115409,1,807,432,375
115454,1,1150,336,814
115472,1,1791,549,1242
115490,1,1671,598,1073
115515,1,1074,418,656
115533,1,1503,414,1089
115658,1,126,9,117
115728,1,1343,375,968
115746,1,1060,253,807
115755,1,8293,3817,4476
115773,1,990,224,766
115861,1,7701,3210,4491
115931,1,173,120,53
116226,1,296,26,270
116350,1,268,32,236
116439,1,13362,6613,6749
116466,1,1209,1079,130
116475,1,534,442,92
116484,1,823,698,125
116563,1,184,8,176
116712,1,1356,335,1021
116846,1,229,119,110
117052,1,13807,5932,7875
117104,1,627,323,304
117113,1,1869,1048,821
117140,1,8796,3591,5205
117168,1,544,219,325
117195,1,2426,1059,1367
117238,1,93,18,75
117247,1,11362,5260,6102
117274,1,2494,1843,651
117520,1,456,259,197
117557,1,492,245,247
117575,1,189,120,69
117627,1,2440,1034,1406
117636,1,4693,1835,2858
117645,1,24020,10893,13127
117672,1,968,465,503
117690,1,10098,4161,5937
117706,1,20080,9407,10673
117715,1,7864,2427,5437
117724,1,13879,7313,6566
117733,1,18762,8086,10676
117751,1,1499,941,558
117788,1,19635,8680,10955
117803,1,185,41,144
117867,1,8990,3602,5388
117894,1,8525,3914,4611
117928,1,1317,714,603
117946,1,9661,4026,5635
117955,1,186,7,179
118116,1,67,3,64
118125,1,36,1,35
118134,1,67,2,65
118143,1,56,5,51
118161,1,126,2,124
118189,1,138,5,133
118198,1,594,167,427
118259,1,547,81,466
118277,1,1354,334,1020
118286,1,896,242,654
118347,1,6077,2574,3503
118356,1,2405,177,2228
118541,1,1037,463,574
118684,1,3729,1513,2216
118693,1,745,462,283
118718,1,10205,4436,5769
118772,1,5887,2098,3789
118888,1,1595,126,1469
118912,1,14537,6364,8173
118921,1,616,49,567
118930,1,9130,4083,5047
118958,1,48,6,42
118967,1,792,368,424
118976,1,17084,7383,9701
118994,1,76,74,2
119058,1,731,257,474
119067,1,9519,4935,4584
